"","species","state","year","lake.id","level","linf","k","t0","minage","maxage"
"1","bluegill","in",2018,"{C2CDBE63-E36F-4CE7-859F-90BA10E06CAE}","lakeyear",20.3990456479668,0.304553033588816,-0.229023627077172,1,5
"2","bluegill","in",2016,"{381B3553-95F5-4E84-9B07-FF29D5485AC7}","lakeyear",45.8599510778371,0.0765986457417651,-0.956011194077708,2,6
"3","bluegill","in",2016,"{E8920DAA-D79A-41E2-8BCE-2B1D890DF703}","lakeyear",53.7691237818041,0.0942519347934359,0.11429023460424,1,7
"4","bluegill","in",2016,"{308B61DE-4327-42F6-A8BE-756095FBB6DC}","lakeyear",34.5406479781173,0.140526908880633,-0.161849946187451,1,6
"5","bluegill","in",2019,"{BF0D951E-0226-4495-8598-8C0F933C06FD}","lakeyear",426.640455518014,0.00542041626734028,-2.8761593976518,1,5
"6","bluegill","in",2018,"{52F39589-1F21-4823-BB4E-80F276AE04A1}","lakeyear",45.5194500795215,0.0809584317281569,-1.43114988504303,1,5
"7","bluegill","in",2017,"{E11841F2-4D06-437F-9EAF-3018BA35C35E}","lakeyear",40.3673028152405,0.107934048012673,-1.353834526964,1,7
"8","bluegill","in",2018,"{317DA925-63BD-4BD2-99B7-6CFA554B6D51}","lakeyear",37.996681858227,0.0864068043980952,-1.12539194842283,1,8
"9","bluegill","in",2007,"577","lakeyear",28.6381234180541,0.270722310245663,-0.0851921352172544,1,7
"10","bluegill","in",2007,"593","lakeyear",23.1019706205253,0.246625648249544,0.0822221683886271,1,8
"11","bluegill","in",2002,"613","lakeyear",75.3680580255081,0.0636308746218481,0.157470109348737,1,6
"12","bluegill","in",2002,"615","lakeyear",39.614142555656,0.104569665603472,-0.295840200982393,1,6
"13","bluegill","in",2001,"606","lakeyear",38.4625146141913,0.180904668628897,0.113680981318428,1,7
"14","bluegill","in",2006,"572","lakeyear",30.0856146966275,0.21534241681832,-0.0595980095222615,1,7
"15","bluegill","in",2003,"604","lakeyear",47.3256082053856,0.106934968162276,0.0862040025791077,1,8
"16","bluegill","in",2005,"566","lakeyear",23.149643224019,0.422834045462563,0.417289329854249,1,6
"17","bluegill","in",2004,"620","lakeyear",24.0354423211769,0.313078927187854,0.471631845943146,1,7
"18","bluegill","in",1996,"418","lakeyear",32.363410995673,0.220621341813378,-0.0724696227097002,1,6
"19","bluegill","in",2001,"430","lakeyear",91.9741844350253,0.0439180082832336,-0.329113097684418,1,6
"20","bluegill","in",1998,"454","lakeyear",24.9989800577621,0.349207196203205,0.0819397126908441,1,5
"21","bluegill","in",2001,"507","lakeyear",21.1147167655035,0.378309182250876,0.123803869534565,1,6
"22","bluegill","in",2003,"390","lakeyear",49.6402269509139,0.0903045618550417,-0.287910266656879,1,7
"23","bluegill","in",1997,"382","lakeyear",31.584627341515,0.181605481762214,0.0645137816558857,1,6
"24","bluegill","in",2005,"384","lakeyear",25.0417728737525,0.189748752067037,-0.277508816312302,1,6
"25","bluegill","in",2006,"400","lakeyear",26.9018117118132,0.155529222918173,-0.898657927786788,1,6
"26","bluegill","in",1998,"519","lakeyear",22.3936668832311,0.502218242076999,0.181479063645524,1,6
"27","bluegill","in",2006,"381","lakeyear",27.3108739551381,0.250731833469559,0.0983879030270736,1,6
"28","bluegill","in",2006,"399","lakeyear",24.523636671196,0.267937923797926,-0.156197768604082,1,6
"29","bluegill","in",2004,"401","lakeyear",324.669509474065,0.00861855105410183,-1.15866487381779,1,7
"30","bluegill","in",2000,"509","lakeyear",30.504493067795,0.125951694541923,-0.486450391588218,1,7
"31","bluegill","in",1999,"449","lakeyear",34.9215970421573,0.192295530268897,-0.0440558343816999,1,5
"32","bluegill","in",2004,"425","lakeyear",85.6263517739426,0.0521207968817507,0.416586896140685,1,6
"33","bluegill","in",2002,"396","lakeyear",32.3265249307593,0.144415270850742,0.00687355463344007,1,8
"34","bluegill","in",1996,"497","lakeyear",29.6224744228968,0.207857668892656,0.0138376084290945,1,6
"35","bluegill","in",1996,"482","lakeyear",26.3767723573247,0.22248484724268,-0.212836073653184,1,6
"36","bluegill","in",2004,"460","lakeyear",162.479281487558,0.0232486110374655,-0.0190660634375531,1,7
"37","bluegill","in",2004,"362","lakeyear",24.6650869027245,0.313293279998794,0.422495633734818,1,7
"38","bluegill","in",2001,"435","lakeyear",54.0096755532023,0.0781751430490651,-0.0129887242412837,1,6
"39","bluegill","in",1996,"502","lakeyear",26.122020342289,0.297306976386156,-0.149468759810461,1,6
"40","bluegill","in",1996,"490","lakeyear",32.7821465082235,0.156520129841656,0.229927012375687,1,6
"41","bluegill","in",2001,"501","lakeyear",27.2190439482248,0.330500659022532,0.226287443820468,1,5
"42","bluegill","in",1994,"181","lakeyear",22.8534046295034,0.381958600064487,0.190057772708147,1,5
"43","bluegill","in",2001,"367","lakeyear",37.5664176103194,0.112439506550763,-0.667848031850194,1,8
"44","bluegill","in",2003,"375","lakeyear",31.955361031322,0.141035246679081,-0.625030008667967,1,7
"45","bluegill","in",1995,"375","lakeyear",461535201.965453,5.38469374424776e-09,-1.47191179952371,1,7
"46","bluegill","in",1987,"51","lakeyear",18.3966299025532,0.678407810085246,0.107063250278915,1,7
"47","bluegill","in",2009,"606","lakeyear",25.8446580529975,0.36957921318383,0.883302503443334,1,7
"48","bluegill","in",2009,"613","lakeyear",23.906515825917,0.361673177945997,0.464616045140158,1,8
"49","bluegill","in",2008,"615","lakeyear",97.666664399756,0.0283295694249188,-1.07121963435559,1,7
"50","bluegill","in",1994,"558","lakeyear",81.961650287738,0.0373461739983054,-0.799447339347789,1,7
"51","bluegill","in",1995,"612","lakeyear",42.9174149934724,0.0855002027629565,-0.0236837100217843,1,8
"52","bluegill","in",1997,"568","lakeyear",22.9649579525527,0.457235003336831,0.411438677256586,1,8
"53","bluegill","in",1994,"355","lakeyear",18.1693977235906,0.181353198336636,-2.76334055889822,1,7
"54","bluegill","in",1993,"371","lakeyear",25.5251405997467,0.350544100447062,0.625095665150209,1,6
"55","bluegill","in",1992,"474","lakeyear",37.2658166411049,0.108066727779956,-0.618068645491613,1,7
"56","bluegill","in",1992,"493","lakeyear",23.0014858210562,0.388824768970876,0.402932710147994,1,7
"57","bluegill","in",1992,"504","lakeyear",20.65730850796,0.328864691771503,0.0808112890135016,1,6
"58","bluegill","in",1991,"513","lakeyear",23.9731920353303,0.317490576011738,0.129614149827435,1,8
"59","bluegill","in",1994,"515","lakeyear",26.5799014051315,0.254484315708443,-0.028654556509557,1,6
"60","bluegill","in",1994,"360","lakeyear",22.7688848139575,0.151997249118815,-1.87943703181389,1,7
"61","bluegill","in",1988,"385","lakeyear",25.0003771130667,0.167766655025165,-0.274556683174184,1,8
"62","bluegill","in",1987,"395","lakeyear",34.3424430424706,0.102573252818809,-0.633324395361373,1,8
"63","bluegill","in",1987,"187","lakeyear",21.6390905243452,0.241766639484177,0.350681621616621,2,7
"64","bluegill","in",1987,"235","lakeyear",20.257161137907,0.355148479572786,1.6574245264336,3,7
"65","bluegill","in",1995,"413","lakeyear",33.5618955223874,0.175105026147371,0.245943564377327,1,7
"66","bluegill","in",1987,"416","lakeyear",27.1126828498406,0.28511882680537,0.371021439932507,1,6
