"","wbic","sex","Linf","k","t0"
"1",1835300,"m",21.0212230063713,0.156869918965056,-1.59487640680405
"2",2963800,"m",17.2478707847345,0.377414656954452,0.792987629630518
"3",2340700,"f",31.8255579956396,0.150396846207387,0.395046465563719
"4",2310400,"f",27.6271293098236,0.146526628739066,-0.262271771155292
"5",2963800,"f",33.1649301622483,0.110266283239385,-1.02754674721727
"6",1623800,"m",21.0978102711388,0.185650656700936,-1.31508335287558
"7",1623800,"f",45.232698754862,0.0580742150244129,-2.3315354816229
"8",2268600,"f",51.7672680241122,0.0446518327057823,-3.06826701806066
"9",2268600,"m",26.1768914193758,0.0946732916557881,-2.95397842724941
"10",2340700,"m",45.9552978911916,0.047230002725636,-3.0138987597967
"11",1602300,"f",35.4903294723479,0.104105800002273,-1.52052399057481
"12",2340500,"m",33.7443710932505,0.0909451014195628,-0.961996839813025
"13",2310200,"m",26.2037943615577,0.0941703523658729,-2.59858044713012
"14",2310400,"m",19.9944989461048,0.216611454785524,-0.531220728881628
"15",968800,"f",51.9959814205461,0.0469456627672931,-2.74466569154695
"16",2340500,"f",29.1729806774496,0.178197638816065,0.201062612264908
"17",2310200,"f",26.8175204755134,0.147789484299626,-1.12116336590973
"18",1602300,"m",20.5833452725513,0.244802232148585,-0.664630294074195
"19",2340900,"m",51.5625558677769,0.0513634139075767,-2.3881799337347
"20",2340900,"f",34.4567112520802,0.0962707172409709,-2.70246995860695
"21",2311700,"f",31.1030316400327,0.10369122537981,-0.749771569064182
"22",2311700,"m",28.1762413107719,0.0933271126802948,-2.19169747916107
"23",968800,"m",22.6520637522168,0.179036106123323,-0.705826574085813
"24",2956500,"f",30.1370179440935,0.170728581635386,0.461965382802032
"25",2956500,"m",22.2975299163916,0.169787019861187,-1.14672894702859
"26",1545600,"f",37.323453871729,0.0842603668867293,-1.8597026037149
"27",2331600,"m",23.0796180585402,0.159418443209022,-1.98413403142458
"28",2331600,"f",29.8652675858121,0.137419466762752,-1.07804786155139
"29",1545600,"m",29.0799826414597,0.0796030395240797,-3.90732775851457
"30",2762200,"m",22.2242405038952,0.190869984770011,-1.46061382367334
"31",2762200,"f",32.4488837422204,0.120573456008841,-1.10024239726767
"32",1631900,"f",40.9998877186458,0.0816315390688423,-0.514239182259408
"33",2311100,"m",33.6016310362051,0.0578249804174917,-3.63386150529164
"34",1592400,"f",31.6144790902148,0.0977668387187516,-2.25116297375717
"35",1592400,"m",20.2496860262132,0.191618050271551,-1.59801150565161
"36",1545300,"f",80.4075722441997,0.018724242645025,-8.49355028459962
"37",2334700,"f",56.0365606002265,0.047125976041609,-1.8701700587864
"38",2311100,"f",36.2090194040322,0.105347638669049,-0.441317841086684
"39",2338300,"f",44.8348615334082,0.0555997293597975,-2.62048095654077
"40",2334700,"m",19.457708895996,0.239790654120254,-0.676540925219663
"41",1631900,"m",26.0217748885576,0.13272019351059,-1.32801083073628
"42",1545300,"m",25.834176296774,0.132194855834145,-1.59235606733629
"43",1596300,"m",34.6129638871656,0.0713290270754233,-3.61686000860458
"44",1600300,"m",81.1678162694797,0.0508996439864234,0.988116302614994
"45",2343200,"m",26.6672732287759,0.100729784825796,-2.23937659733884
"46",2329000,"m",22.1618367514884,0.167269288780414,-1.58843259476601
"47",2344000,"m",28.0649944003495,0.087927985328932,-2.55243689485767
"48",1599600,"m",23.2053911967881,0.146492564205473,-1.18938956349636
"49",2334300,"m",22.8662726373725,0.155779664154572,-1.27574866908255
"50",2327500,"m",21.8781735134779,0.144983725528388,-2.26653681424947
"51",2334400,"f",41.8271974951682,0.0628775913215218,-2.21998806278825
"52",1603700,"m",43.6093401782691,0.0436057401638742,-3.26524348025553
"53",1600200,"m",24.894379627262,0.116656807160805,-1.74214161944953
"54",2953500,"m",21.9743446932084,0.163510396212745,-0.961375252444049
"55",1603700,"f",37.081491564822,0.0973867131474644,-0.102644080105517
"56",2953500,"f",45.6803501420676,0.0570153465562701,-1.91818457131417
"57",2327500,"f",34.2601459596123,0.0842703067434796,-2.20157997233556
"58",2329300,"f",42.2282494043339,0.0735003128396907,-1.08808482740725
"59",1599600,"f",95.9945754733645,0.0208517878455205,-3.3763016121999
"60",2344000,"f",28.7796591616013,0.221716259476537,2.06002743110618
"61",2334400,"m",26.972156842827,0.094262284062635,-2.56128643322683
"62",1593100,"m",22.8583333151917,0.133831697438098,-1.65026784711663
"63",1593100,"f",31.0920919274121,0.120469774828648,-0.206189183654426
"64",1600200,"f",56.2209511984665,0.0413480227693172,-2.31959058636788
